"Country" "Master.ID"
"678" "Israel" "I2189"
"679" "Israel" "I2190"
"680" "Israel" "I2195"
"681" "Israel" "I2198"
"682" "Spain" "I2199"
"683" "Israel" "I2200"
"684" "Israel" "I2201"
"685" "Tanzania" "I2298"
"686" "Poland" "I2405"
"687" "United Kingdom" "I2416"
"688" "United Kingdom" "I2418"
"689" "United Kingdom" "I2421"
"690" "Bulgaria" "I2427"
"691" "Bulgaria" "I2431"
"692" "Poland" "I2433"
"693" "Poland" "I2434"
"694" "Poland" "I2435"
"695" "Poland" "I2440"
"696" "Poland" "I2441"
"697" "United Kingdom" "I2457"
"698" "United Kingdom" "I2459"
"699" "United Kingdom" "I2460"
"700" "United Kingdom" "I2463"
"701" "Spain" "I2467"
"702" "Spain" "I2472"
"703" "Italy" "I2478"
"704" "Russia" "I0234"
"705" "Russia" "I0126"
"706" "Russia" "I0440"
"707" "Russia" "I0432"
"708" "Russia" "I0442"
"709" "Russia" "I0418"
"710" "Russia" "I0434"
"711" "Russia" "I0433"
"712" "Russia" "I0122"
"713" "Russia" "I0124"
"714" "Russia" "I0233"
"715" "Russia" "I0370"
"716" "Russia" "I0441"
"717" "Russia" "I0444"
"718" "Russia" "I0439"
"719" "Russia" "I0357"
"720" "Russia" "I0429"
"721" "Russia" "I0438"
"722" "Tanzania" "I1048"
"723" "Russia" "I0576"
"724" "Russia" "I0574"
"725" "Russia" "I0575"
"726" "Kazakhstan" "I0563"
"727" "Kazakhstan" "I0562"
"728" "Portugal" "I0840"
"729" "Spain" "I1310"
"730" "Spain" "I1282"
"731" "Spain" "I1302"
"732" "Spain" "I1276"
"733" "Spain" "I1284"
"734" "Spain" "I1274"
"735" "Spain" "I1280"
"736" "Spain" "I1314"
"737" "Spain" "I1277"
"738" "Spain" "I1272"
"739" "Spain" "I1281"
"740" "Spain" "I1300"
"741" "Spain" "I0843"
"742" "Spain" "I0585"
"743" "Kazakhstan" "I0507"
"744" "Romania" "Oase1"
"745" "Germany" "I0807"
"746" "Germany" "I0559"
"747" "Germany" "I0560"
"748" "Bulgaria" "I0785"
"749" "Bulgaria" "I0781"
"750" "Germany" "I1546"
"751" "Germany" "I0806"
"752" "Germany" "I0805"
"753" "Germany" "I0113"
"754" "Germany" "I0112"
"755" "Germany" "I1530"
"756" "Germany" "I0111"
"757" "Germany" "I0108"
"758" "Spain" "I0462"
"759" "Spain" "I0460"
"760" "Spain" "I0459"
"761" "Spain" "I0457"
"762" "Spain" "I0456"
"763" "Spain" "I0453"
"764" "Spain" "I0455"
"765" "Spain" "I0263"
"766" "Spain" "I1553"
"767" "Spain" "I0825"
"768" "Spain" "I0260"
"769" "Spain" "I0261"
"770" "Spain" "I0823"
"771" "Spain" "I0258"
"772" "Spain" "I0262"
"773" "Spain" "I0257"
"774" "Spain" "I0826"
"775" "Spain" "I0458"
"776" "Germany" "I0171"
"777" "Germany" "I0059"
"778" "Germany" "I1542"
"779" "Germany" "I1536"
"780" "Germany" "I1544"
"781" "Germany" "I1538"
"782" "Germany" "I1539"
"783" "Germany" "I1534"
"784" "Germany" "I0106"
"785" "Germany" "I1540"
"786" "Germany" "I1541"
"787" "Germany" "I1532"
"788" "Germany" "I0049"
"789" "Peru" "I0974"
"790" "Peru" "I0975"
"791" "Russia" "I0211"
"792" "Russia" "I0061"
"793" "Germany" "I0550"
"794" "Peru" "I0041"
"795" "Peru" "I0039"
"796" "Peru" "I0040"
"797" "Germany" "I0797"
"798" "Germany" "I0795"
"799" "Hungary" "I0176"
"800" "Peru" "I0045"
"801" "Russia" "I0963"
"802" "Germany" "I0802"
"803" "Germany" "I0800"
"804" "Germany" "I0551"
"805" "Spain" "I0409"
"806" "Spain" "I0411"
"807" "Spain" "I0405"
"808" "Hungary" "I0174"
"809" "Bolivia" "I0979"
"810" "Bolivia" "I0977"
"811" "Bolivia" "I0976"
"812" "Bolivia" "I0978"
"813" "Germany" "I0115"
"814" "Germany" "I0117"
"815" "Germany" "I0804"
"816" "Germany" "I0803"
"817" "Germany" "I0164"
"818" "Germany" "I0114"
"819" "Peru" "I0971"
"820" "Peru" "I0969"
"821" "Peru" "I0968"
"822" "Peru" "I0972"
"823" "Peru" "I0964"
"824" "Peru" "I0965"
"825" "Peru" "I0967"
